id,word,translation,definition,partOfSpeech,frequency,examples,pronunciation,context
cmfysonv60000ipxc8bylo92x,здравствуйте,hello (formal),formal greeting,interjection,1000,"[""здравствуйте используется в повседневной речи."",""Пример: здравствуйте - это formal greeting.""]",zdra-stvuy-tye,Cognatus colligo abeo degenero considero.
cmfysonx60001ipxc0ksll27h,спасибо,thank you,expression of gratitude,interjection,950,"[""спасибо используется в повседневной речи."",""Пример: спасибо - это expression of gratitude.""]",spa-si-bo,Valeo delicate amita vulnus.
cmfysonyv0002ipxci8hjphiw,пожалуйста,please/you're welcome,polite request or acknowledgment,adverb,900,"[""пожалуйста используется в повседневной речи."",""Пример: пожалуйста - это polite request or acknowledgment.""]",po-zha-luy-sta,Curtus cenaculum soluta accedo dapifer iusto conventus.
cmfysoo0f0003ipxc465qb1yy,извините,excuse me/sorry,apology or attention-getting phrase,verb,800,"[""извините используется в повседневной речи."",""Пример: извините - это apology or attention-getting phrase.""]",iz-vi-ni-tye,Culpo coaegresco cogo verumtamen corrupti adfectus articulus demitto error.
cmfysoo230004ipxcgqgpvgvv,работа,work/job,employment or labor,noun,750,"[""работа используется в повседневной речи."",""Пример: работа - это employment or labor.""]",ra-bo-ta,Clementia thermae confido.
cmfysoo3o0005ipxc8lobggwd,дом,house/home,dwelling or residence,noun,700,"[""дом используется в повседневной речи."",""Пример: дом - это dwelling or residence.""]",dom,Arma voveo vero suspendo subito.
cmfysoo550006ipxc4mczeqq4,время,time,temporal measurement,noun,650,"[""время используется в повседневной речи."",""Пример: время - это temporal measurement.""]",vre-mya,Cerno vilis volo depromo desolo.
cmfysoo6r0007ipxc947rcymd,деньги,money,currency or financial resources,noun,600,"[""деньги используется в повседневной речи."",""Пример: деньги - это currency or financial resources.""]",den-gi,Tendo surculus caute dolorem admoveo supellex suffoco demum.
cmfysoo8f0008ipxcf9y3ieso,хорошо,good/well,positive evaluation,adverb,580,"[""хорошо используется в повседневной речи."",""Пример: хорошо - это positive evaluation.""]",kho-ro-sho,Ventosus delectatio terga teres arx utrum delinquo summisse attollo admiratio.
cmfysooa20009ipxcewxufs2x,плохо,bad/poorly,negative evaluation,adverb,500,"[""плохо используется в повседневной речи."",""Пример: плохо - это negative evaluation.""]",plo-kho,Patria curatio viriliter complectus colo solium velum.
cmfysoobl000aipxcpz6uhsyk,sociusое,traffic,Aegrus tergeo minus turbo dolores.,adjective,121,"[""Ustulo decens denique clibanus defetiscor turpis vereor."",""Vilis sunt verecundia.""]",illusion,Sui velit numquam vereor uterque cultura maiores tempore odio adsidue.
cmfysood6000bipxcvtopig8b,iureое,representation,Substantia tendo suasoria tero vilitas currus vulgaris adicio amor.,preposition,317,"[""Officia textor vesper caelestis conatus viridis."",""Stabilis desparatus creator.""]",yet,Adstringo sto vilitas.
cmfysooeu000cipxc6ghh9du2,terrorое,thin per concerning,Unus ver perferendis comitatus.,verb,883,"[""Cribro vivo spoliatio ullam."",""Fugit accusantium arceo acerbitas tabella vere.""]",prance,Condico temperantia non coerceo.
cmfysoogh000dipxcgrkwwyu6,supplantoеть,by,Defetiscor centum amissio delego abscido placeat stillicidium coruscus solum.,preposition,523,"[""Atque carpo nisi cauda caterva fugit subiungo conduco aperio avaritia."",""Fugiat capillus perspiciatis suscipio succurro synagoga illo comprehendo caput.""]",entomb,Damno spero dedico surculus blandior volutabrum sponte venia aggero.
cmfysooi8000eipxcd84984co,canisеть,instructive elastic,Aeternus addo supra coaegresco.,verb,21,"[""Dolor depulso validus aperiam claustrum omnis thema corroboro addo tabesco."",""Vulticulus agnosco totam creber temeritas denego adipiscor aspernatur.""]",fisherman,Benevolentia suadeo averto.
cmfysoojx000fipxc7gjg1u94,acceptusать,through throughout,Animus theologus clarus aurum talio delibero.,adverb,9,"[""Validus aequus sursum stultus tantillus taedium."",""Recusandae cunabula arbitro repudiandae molestiae delinquo conatus.""]",carefully,Conspergo aveho abundans acervus sulum in.
cmfysoolx000gipxc0mtenhzo,auditorеть,grown,Xiphias appono toties attonbitus barba sed aequitas tremo.,noun,495,"[""Totidem quibusdam amor collum villa calculus utique suscipio amissio."",""Deinde adsuesco adsum conforto porro.""]",readies,Deorsum cohaero sit canis aut amoveo vigor sordeo corrumpo attero.
cmfysoonl000hipxc6hp7bbqf,adversusая,untrue joshingly,Uredo quasi aperio auxilium vinum xiphias tamen.,verb,34,"[""Dolores saepe aptus vicinus undique tamen succurro arcesso cubitum copiose."",""Virgo cunctatio patria spiritus cupio.""]",permafrost,Verumtamen deleo laborum dapifer.
cmfysoop5000iipxcd8l814wj,sustineoеть,chip upon split,Tardus damnatio libero est cupiditas.,adverb,158,"[""Capto arguo sui tempora video sufficio."",""Decens tenax rem arbor demo supellex caecus spargo.""]",plump,Eligendi culpo a subvenio corona contego ambulo uxor defaeco auxilium.
cmfysooqr000jipxcynf8vevc,administratioое,yak,Appello corona ambitus atavus audio.,preposition,846,"[""Certe alius aer clementia."",""Eligendi admoneo ipsa tergeo taceo atrox consequatur.""]",lively,Ventosus vilicus terreo utrimque despecto adeo sit surculus cedo cernuus.
cmfysoosc000kipxcly98jud9,viridisое,nearly safeguard despite,Accommodo credo neque speculum.,verb,83,"[""Sed ipsa ceno verbum defero creator."",""Adinventitias ullus demitto spargo tamdiu.""]",after,Culpa voluptatum totam cariosus videlicet thesaurus.
cmfysooxa000lipxc71pgrp5h,tegoая,redound,Tametsi volo baiulus arbitro varius velociter custodia cui conduco ancilla.,preposition,112,"[""Ars adfero cohaero vulariter dedico."",""Vindico spargo denuncio placeat.""]",outstanding,Bellicus ventosus victoria optio audio quam sufficio una.
